player_id,name_last,name_first,link,link_title,name_full_commas,teams_list,first_year,last_year
parkt102,Park,Tom,https://afltables.com/afl/stats/players/T/Tom_Park.html,Essendon (1974),"Park, Tom",['Essendon (1974)'],1974,1974
parkb101,Parke,Bert,https://afltables.com/afl/stats/players/B/Bert_Parke.html,"Carlton (1905-1913), Melbourne (1907-1912)","Parke, Bert","['Carlton (1905-1913)', ' Melbourne (1907-1912)']",1905,1912
parkg105,Parke,Greg,https://afltables.com/afl/stats/players/G/Greg_Parke.html,"Melbourne (1968-1973), Western Bulldogs (1974-1975), Fitzroy (1977)","Parke, Greg","['Melbourne (1968-1973)', ' Western Bulldogs (1974-1975)', ' Fitzroy (1977)']",1968,1977
parka101,Parker,Alf,https://afltables.com/afl/stats/players/A/Alf_Parker.html,St Kilda (1898),"Parker, Alf",['St Kilda (1898)'],1898,1898
parkb003,Parker,Brendan,https://afltables.com/afl/stats/players/B/Brendan_Parker.html,Carlton (1992-1993),"Parker, Brendan",['Carlton (1992-1993)'],1992,1993
parkb102,Parker,Brian,https://afltables.com/afl/stats/players/B/Brian_Parker.html,Sydney (1965),"Parker, Brian",['Sydney (1965)'],1965,1965
parkd003,Parker,Daniel,https://afltables.com/afl/stats/players/D/Daniel_Parker.html,Fremantle (1996-1999),"Parker, Daniel",['Fremantle (1996-1999)'],1996,1999
parke101,Parker,Ern,https://afltables.com/afl/stats/players/E/Ern_Parker.html,Sydney (1947),"Parker, Ern",['Sydney (1947)'],1947,1947
parkf102,Parker,Frank,https://afltables.com/afl/stats/players/F/Frank_Parker.html,Hawthorn (1941),"Parker, Frank",['Hawthorn (1941)'],1941,1941
parkg007,Parker,Geoffrey,https://afltables.com/afl/stats/players/G/Geoffrey_Parker.html,Essendon (1987-1989),"Parker, Geoffrey",['Essendon (1987-1989)'],1987,1989
parkg103,Parker,George,https://afltables.com/afl/stats/players/G/George_Parker.html,St Kilda (1942),"Parker, George",['St Kilda (1942)'],1942,1942
parkg104,Parker,Glen,https://afltables.com/afl/stats/players/G/Glen_Parker.html,Sydney (1964-1966),"Parker, Glen",['Sydney (1964-1966)'],1964,1966
parkh102,Parker,Harold,https://afltables.com/afl/stats/players/H/Harold_Parker.html,St Kilda (1911),"Parker, Harold",['St Kilda (1911)'],1911,1911
parkj105,Parker,Jack,https://afltables.com/afl/stats/players/J/Jack_Parker0.html,Collingwood (1951-1955),"Parker, Jack",['Collingwood (1951-1955)'],1951,1955
parkj104,Parker,Jack,https://afltables.com/afl/stats/players/J/Jack_Parker1.html,North Melbourne (1935),"Parker, Jack",['North Melbourne (1935)'],1935,1935
