playerID,1%,BH,BO,BR,CG,CL,CM,CP,DI,FA,FF,GA,GL,HB,HO,IF,KI,MI,MK,RB,TK,UP,name_last,name_first,first_year,last_year
moirh101,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Moir,Hector,1930,1931
moirp101,0,1,0,0,0,0,0,0,22,1,3,0,3,7,0,0,15,0,5,0,0,0,Moir,Phillip,1981,1981
molac101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Molan,Con,1904,1908
molas101,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,Molan,Stan,1918,1924
moleb002,16,10,15,0,36,25,3,85,251,18,8,11,10,125,0,58,126,1,44,13,61,163,Moles,Brodie,2010,2011
molej101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Molesworth,John,1897,1897
mollc001,2,0,0,0,0,0,0,4,5,0,2,0,0,4,3,0,1,0,0,0,0,2,Moller,Craig,2013,2013
molld101,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,Mollison,Derek,1923,1928
molld102,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Molloy,Dick,1941,1947
mollg002,0,5,0,0,0,0,0,0,133,20,14,0,4,52,0,0,81,0,28,0,15,0,Molloy,Glenn,1993,1996
mollg101,0,40,0,0,0,0,0,0,1010,238,123,0,35,241,60,0,769,0,310,0,0,0,Molloy,Graham,1970,1975
mollj001,192,152,11,16,141,95,100,604,1941,210,128,13,200,725,99,226,1216,114,567,47,288,448,Molloy,Jarrod,1994,2003
mollk101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Molloy,Keith,1943,1949
mollm101,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Mollar,Max,1950,1955
molls101,0,7,0,0,0,0,0,0,942,102,125,0,4,277,3,0,665,0,182,0,0,0,Molloy,Shane,1969,1974
molob004,221,54,155,36,419,690,9,1363,3189,190,119,45,46,1436,3,722,1753,21,500,208,608,1827,Moloney,Brent,2003,2014
molob101,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,Molony,Brian,1952,1958
molob102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Moloney,Brian,1957,1959
molob103,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Moloney,Basil,1961,1963
molod101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moloney,Dan,1932,1934
molog101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moloney,George,1917,1917
molog102,0,0,0,33,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,Moloney,George,1931,1935
molog103,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Moloney,George,1943,1944
molog104,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,Moloney,George,1958,1961
moloj101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moloney,John,1904,1904
molol101,0,4,0,0,0,0,0,0,929,119,157,0,8,135,1,0,794,0,207,0,0,0,Moloney,Laurie,1971,1976
molot002,0,6,0,0,0,0,0,0,422,34,40,0,4,125,2,0,297,0,46,0,31,0,Moloney,Troy,1987,1992
molot101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moloughney,Tom,1911,1915
molov101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moloney,Vin,1943,1943
monaa101,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,Monahan,Andy,1945,1951
monab101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monagle,Billy,1899,1899
monab102,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Monar,Bob,1910,1911
monal101,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,Monaghan,Leo,1935,1948
monca101,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,Moncrieff,Allan,1943,1951
moncm101,0,367,0,0,0,0,0,0,2163,466,386,0,629,330,21,0,1833,0,854,0,0,0,Moncrieff,Michael,1971,1983
monej101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Money,Jim,1928,1928
monfa001,175,135,56,14,364,204,74,1264,3202,145,330,134,248,1481,6,512,1721,248,920,87,573,1966,Monfries,Angus,2005,2017
monkb101,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,Monk,Bobby,1907,1914
monkd001,20,35,0,49,51,149,18,173,2892,264,358,0,45,1524,2753,52,1368,2,936,40,132,129,Monkhorst,Damian,1988,2000
monkf101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Monkhouse,Fred,1900,1900
monki101,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,Monks,Ian,1953,1957
monoj101,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,Monohan,Jack,1897,1907
monoj102,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Monohan,Jack,1924,1925
monta002,0,9,0,0,0,0,0,0,422,58,56,0,6,135,2,0,287,0,106,0,0,0,Montgomery,Allan,1982,1985
monta101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Montgomery,Allan,1942,1942
montb003,368,77,162,23,310,120,164,885,3131,181,199,26,119,1310,51,352,1821,106,1188,332,280,1725,Montgomery,Brett,1997,2005
montb101,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Montgomery,Bill,1936,1942
montb102,0,166,0,0,0,0,0,0,2231,324,290,0,198,552,9,0,1679,0,444,0,0,0,Monteath,Bruce,1975,1980
montd101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monteith,Dick,1910,1912
monti101,0,0,0,0,0,0,0,0,473,46,56,0,0,48,1,0,425,0,143,0,0,0,Montgomery,Ian,1965,1968
montk101,0,7,0,0,0,0,0,0,3225,248,345,0,2,824,10,0,2401,0,545,0,0,0,Montgomery,Ken,1968,1981
montl001,384,128,432,106,788,863,33,2116,6881,262,236,175,155,2608,5,1237,4273,86,1348,691,1152,4662,Montagna,Leigh,2002,2017
montr101,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,2,0,1,0,0,0,Montgomery,Ron,1972,1972
moodb101,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Moodie,Bill,1900,1901
