,playerID,team,theyear,round_number,Opponent,R,%P,1%,BH,BO,BR,CG,CL,CM,CP,DI,FA,FF,GA,GL,HB,HO,IF,KI,MI,MK,RB,TK,UP
38,watec002,Brisbane Bears,1987,9,Footscray,L,0,0,0,0,0,0,0,0,0,12,2,1,0,0,4,0,0,8,0,3,0,2,0
39,watec002,Brisbane Bears,1987,10,Carlton,L,0,0,0,0,0,0,0,0,0,7,0,1,0,0,5,0,0,2,0,1,0,0,0
40,watec002,Brisbane Bears,1987,13,Essendon,L,0,0,0,0,0,0,0,0,0,16,1,4,0,0,1,0,0,15,0,2,0,0,0
41,watec002,Brisbane Bears,1987,14,North Melbourne,L,0,0,0,0,0,0,0,0,0,15,0,2,0,0,3,0,0,12,0,2,0,1,0
42,watec002,Brisbane Bears,1987,15,Geelong,W,0,0,0,0,0,0,0,0,0,18,2,3,0,0,5,0,0,13,0,3,0,1,0
43,watec002,Brisbane Bears,1987,16,St Kilda,L,0,0,0,0,0,0,0,0,0,7,2,1,0,0,2,0,0,5,0,0,0,3,0
44,watec002,Brisbane Bears,1987,18,Melbourne,L,0,0,0,0,0,0,0,0,0,23,2,1,0,0,5,0,0,18,0,6,0,2,0
45,watec002,Brisbane Bears,1987,19,Collingwood,L,0,0,0,0,0,0,0,0,0,7,2,0,0,0,2,0,0,5,0,1,0,0,0
46,watec002,Brisbane Bears,1987,20,West Coast,L,0,0,0,0,0,0,0,0,0,14,1,1,0,0,5,0,0,9,0,2,0,2,0
47,watec002,Brisbane Bears,1987,21,Footscray,L,0,0,0,0,0,0,0,0,0,13,1,1,0,0,4,0,0,9,0,3,0,0,0
48,watec002,Brisbane Bears,1987,22,Richmond,W,0,0,0,0,0,0,0,0,0,13,0,4,0,0,3,0,0,10,0,2,0,0,0
49,watec002,Brisbane Bears,1988,4,Melbourne,L,0,0,1,0,0,0,0,0,0,11,1,1,0,0,1,0,0,10,0,2,0,3,0
50,watec002,Brisbane Bears,1988,5,St Kilda,W,0,0,0,0,0,0,0,0,0,22,3,3,0,1,3,0,0,19,0,3,0,4,0
51,watec002,Brisbane Bears,1988,7,Footscray,W,0,0,0,0,0,0,0,0,0,23,1,1,0,0,7,0,0,16,0,5,0,4,0
52,watec002,Brisbane Bears,1988,8,Sydney,W,0,0,1,0,0,0,0,0,0,30,2,2,0,0,12,0,0,18,0,3,0,8,0
53,watec002,Brisbane Bears,1988,9,Essendon,L,0,0,0,0,0,0,0,0,0,17,1,3,0,0,5,0,0,12,0,2,0,2,0
54,watec002,Brisbane Bears,1988,10,Geelong,L,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,6,0,2,0,2,0
