ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
adkid102,"Adkins","Doc",06/24/1902,,,
adkid101,"Adkins","Dick",09/19/1942,,,
adkis001,"Adkins","Steve",09/12/1990,,,
adlet001,"Adleman","Tim",05/01/2016,,,
adled101,"Adlesh","Dave",05/12/1963,,,
adrie001,"Adrianza","Ehire",09/08/2013,,,
afent001,"Afenir","Troy",09/14/1987,,,
affej001,"Affeldt","Jeremy",04/06/2002,,,
agbab001,"Agbayani","Benny",06/17/1998,,,
ageet101,"Agee","Tommie",09/14/1962,,,
aggah101,"Agganis","Harry",04/13/1954,,,
aglej101,"Agler","Joe",10/01/1912,,,
agnes101,"Agnew","Sam",04/10/1913,,,
agosj001,"Agosto","Juan",09/07/1981,,,
agual001,"Aguayo","Luis",04/19/1980,,06/17/2008,
aguic001,"Aguila","Chris",06/28/2004,,,
aguij001,"Aguilar","Jesus",05/15/2014,,,
aguir001,"Aguilera","Rick",06/12/1985,,,
aguih101,"Aguirre","Hank",09/10/1955,,04/15/1972,
aheac101,"Ahearn","William",06/19/1880,,,
aheap001,"Ahearne","Pat",06/14/1995,,,
ahmen001,"Ahmed","Nick",06/29/2014,,,
aikew001,"Aikens","Willie",05/17/1977,,,
aingd101,"Ainge","Danny",05/21/1979,,,
ainse101,"Ainsmith","Eddie",08/09/1910,,,
ainsk001,"Ainsworth","Kurt",09/05/2001,,,
aitcr101,"Aitchison","Raleigh",04/19/1911,,,
aitog101,"Aiton","George",06/29/1912,,,
ake-j101,"Ake","John",05/12/1884,,,
akerj102,"Aker","Jack",05/03/1964,,04/07/1986,
akerd001,"Akerfelds","Darrel",08/01/1986,,06/11/2001,
akerj101,"Akers","Jerry",05/04/1912,,,
akerb101,"Akers","Bill",09/08/1929,,,
albag001,"Alba","Gibson",05/03/1988,,,
albaj001,"Albaladejo","Jonathan",09/05/2007,,,
albaj101,"Albanese","Joe",07/18/1958,,,
albej001,"Alberro","Jose",04/27/1995,,,
albea001,"Albers","Andrew",08/06/2013,,,
albem001,"Albers","Matt",07/25/2006,,,
albeh001,"Alberto","Hanser",05/29/2015,,,
albeg101,"Alberts","Gus",05/01/1884,,,
albeb101,"Alberts","Butch",09/07/1978,,,
albec101,"Alberts","Cy",09/17/1910,,,
albio001,"Albies","Ozzie",08/01/2017,,,
alboe101,"Albosta","Ed",09/03/1941,,,
albre101,"Albrecht","Ed",10/02/1949,,,
albrj101,"Albright","Jack",05/19/1947,,,
albua001,"Alburquerque","Al",04/15/2011,,,
albuv101,"Albury","Vic",08/07/1973,,,
alcas101,"Alcala","Santo",04/10/1976,,,
alcaa001,"Alcantara","Arismendy",07/09/2014,,,
alcai001,"Alcantara","Israel",06/25/2000,,,
alcar001,"Alcantara","Raul",09/05/2016,,,
alcas001,"Alcantara","Sandy",09/03/2017,,,
alcav001,"Alcantara","Victor",09/05/2017,,,
alcal101,"Alcaraz","Luis",09/13/1967,,,
alcos101,"Alcock","Scotty",04/19/1914,,,
alded101,"Alderson","Dale",09/18/1943,,,
aldrs001,"Aldred","Scott",09/09/1990,,,
aldrm001,"Aldrete","Mike",05/28/1986,,04/06/2004,
aldrj001,"Aldrich","Jay",06/05/1987,,,
aldrc001,"Aldridge","Cory",09/05/2001,,,
aldrv101,"Aldridge","Vic",04/15/1917,,,
alenc101,"Aleno","Chuck",05/15/1941,,,
alexd101,"Alexander","Dale",04/16/1929,,,
alexd001,"Alexander","Doyle",06/26/1971,,,
alexg101,"Alexander","Gary",09/12/1975,,,
alexg001,"Alexander","Gerald",09/09/1990,,,
alexg102,"Alexander","Pete",04/15/1911,,,
alexh101,"Alexander","Hugh",08/15/1937,,,
alexm001,"Alexander","Manny",09/18/1992,,,
alexm101,"Alexander","Matt",08/23/1973,,,
alexb101,"Alexander","Bob",04/11/1955,,,
alexs001,"Alexander","Scott",09/02/2015,,,
alexw101,"Alexander","Walt",06/21/1912,,,
alexn101,"Alexander","Nin",06/07/1884,,,
alfaj001,"Alfaro","Jason",09/09/2004,,,
alfaj002,"Alfaro","Jorge",09/12/2016,,,
alfoa001,"Alfonseca","Antonio",06/17/1997,,,
alfoe001,"Alfonzo","Edgardo",04/26/1995,,,
alfoe002,"Alfonzo","Eliezer",06/03/2006,,,
alfoa002,"Alford","Anthony",05/19/2017,,,
alicl001,"Alicea","Luis",04/23/1988,,04/02/2007,
allaa001,"Allanson","Andy",04/07/1986,,,
allab101,"Allard","Brian",08/08/1979,,,
allak001,"Allard","Kolby",07/31/2018,,,
allen101,"Allen","Nick",05/01/1914,,,
alleb105,"Allen","Bernie",04/10/1962,,,
alleb001,"Allen","Brandon",08/22/2009,,,
allec002,"Allen","Cody",07/20/2012,,,
allej103,"Allen","Jack",05/01/1879,,,
alled001,"Allen","Dusty",07/01/2000,,,
allee101,"Allen","Ethan",06/13/1926,,,
alles101,"Allen","Sled",05/04/1910,,,
alleh102,"Allen","Ham",04/27/1872,,,10/21/1876
allef101,"Allen","Frank",04/24/1912,,,
alleg002,"Allen","Greg",09/01/2017,,,
alleh104,"Allen","Hank",09/09/1966,,,
alleh103,"Allen","Hezekiah",05/16/1884,,,
alleh101,"Allen","Horace",06/15/1919,,,
allej101,"Allen","Jamie",05/01/1983,,,
allep101,"Allen","Pete",08/04/1893,,,
allec001,"Allen","Chad",04/06/1999,,,
allej104,"Allen","John",06/02/1914,,,
allej102,"Allen","Johnny",04/19/1932,,,
allek101,"Allen","Kim",09/02/1980,,,
allel101,"Allen","Lloyd",09/01/1969,,,
allel001,"Allen","Luke",09/10/2002,,,
allem101,"Allen","Myron",07/19/1883,,,
allen001,"Allen","Neil",04/15/1979,,04/03/2005,
alled101,"Allen","Dick",09/03/1963,,,
alleb104,"Allen","Bob",08/20/1919,,,
alleb102,"Allen","Bob",09/19/1937,,,
alleb103,"Allen","Bob",04/19/1890,06/25/1890,,
alleb101,"Allen","Bob",04/14/1961,,,
aller001,"Allen","Rod",04/07/1983,,,
aller101,"Allen","Ron",08/11/1972,,,
alleg001,"Allenson","Gary",04/08/1979,,04/07/1992,
allej001,"Allensworth","Jermaine",07/23/1996,,,
alleg101,"Alley","Gene",09/04/1963,,,
allig101,"Allie","Gair",04/13/1954,,,
allib101,"Allietta","Bob",05/06/1975,,,
allia102,"Allison","Andy",05/07/1872,05/07/1872,,05/15/1872
allia101,"Allison","Art",05/04/1871,,,08/05/1871
allid001,"Allison","Dana",04/12/1991,,,
allid101,"Allison","Doug",05/05/1871,,,05/07/1872
allim102,"Allison","Mack",09/13/1911,,,
allim101,"Allison","Milo",09/26/1913,,,
allib102,"Allison","Bill",05/21/1872,,,
allib103,"Allison","Bob",09/16/1958,,,
allrb001,"Allred","Beau",09/07/1989,,,
almam101,"Almada","Mel",09/08/1933,,,
almaa001,"Almanza","Armando",07/29/1999,,,
almac001,"Almanzar","Carlos",09/04/1997,,,
almer101,"Almeida","Rafael",07/04/1911,,,
almob001,"Almon","Bill",09/02/1974,,,
almoa001,"Almonte","Abraham",08/30/2013,,,
almoe002,"Almonte","Edwin",07/07/2003,,,
almoe001,"Almonte","Erick",09/04/2001,,,
almoh001,"Almonte","Hector",07/26/1999,,,
almom001,"Almonte","Miguel",09/01/2015,,,
