ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
feres101,"Ferens","Stan",06/10/1942,,,
fergc001,"Ferguson","Caleb",06/06/2018,,,
fergg101,"Ferguson","Cecil",04/19/1906,,,
fergc102,"Ferguson","Charlie",09/20/1901,,,04/11/1913
fergc101,"Ferguson","Charlie",05/01/1884,,,07/01/1886
ferga101,"Ferguson","Alex",08/16/1918,,,
fergj101,"Ferguson","Joe",09/12/1970,,04/08/1986,
fergb102,"Ferguson","Bob",04/29/1944,,,
fergb101,"Ferguson","Bob",05/18/1871,05/18/1871,,09/09/1871
fermf001,"Fermin","Felix",07/08/1987,,,
fermr001,"Fermin","Ramon",08/06/1995,,,
ferne101,"Fernandes","Ed",06/09/1940,,,
ferna001,"Fernandez","Alex",08/02/1990,,,
ferns001,"Fernandez","Sid",09/20/1983,,,
fernf101,"Fernandez","Frank",09/12/1967,,,
fernn101,"Fernandez","Nanny",04/14/1942,,,
fernc102,"Fernandez","Chico",07/14/1956,,,
fernj002,"Fernandez","Jared",09/19/2001,,,
fernj003,"Fernandez","Jose",04/07/2013,,,
fernj005,"Fernandez","Jose",09/01/2018,,,
fernj001,"Fernandez","Jose",07/03/1999,,,
fernj004,"Fernandez","Jose Miguel",06/08/2018,,,
fernc101,"Fernandez","Chico",04/20/1968,,,
fernt001,"Fernandez","Tony",09/02/1983,,,
ferno001,"Fernandez","Osvaldo",04/05/1996,,,
ferra101,"Ferrara","Al",07/30/1963,,,
ferrd102,"Ferrarese","Don",04/11/1955,,,
ferra001,"Ferrari","Anthony",06/07/2003,,,
ferrm101,"Ferraro","Mike",09/06/1966,4/4/1983,04/05/1979,
ferrb102,"Ferrazzi","Bill",09/07/1935,,,
ferrt001,"Ferreira","Tony",09/17/1985,,,
ferrj001,"Ferrell","Jeff",07/04/2015,,,
ferrr101,"Ferrell","Rick",04/19/1929,,04/16/1946,
ferrw101,"Ferrell","Wes",09/09/1927,,,
ferrs101,"Ferrer","Sergio",04/05/1974,,,
ferrt101,"Ferrick","Tom",04/19/1941,,04/13/1954,
ferrh101,"Ferris","Hobe",04/26/1901,,,
ferrb101,"Ferris","Bob",09/12/1979,,,
ferrd101,"Ferriss","Boo",04/29/1945,,04/12/1955,
ferrc101,"Ferry","Cy",05/12/1904,,,
ferrj101,"Ferry","Jack",09/04/1910,,,
fersa101,"Ferson","Alex",05/04/1889,,,
festm001,"Festa","Matt",07/14/2018,,,
