ID,Last,First,Play debut,Mgr debut,Coach debut,Ump debut
hambr101,"Hambright","Roger",07/19/1971,,,
hambc101,"Hamburg","Charlie",04/18/1890,,,
hambm001,"Hamburger","Mark",08/31/2011,,,
hambj101,"Hamby","Jim",09/20/1926,,,
hameb001,"Hamelin","Bob",09/12/1993,,,
hamec001,"Hamels","Cole",05/12/2006,,,
hamij102,"Hamill","John",05/01/1884,,,
hamib001,"Hamilton","Billy",09/03/2013,,,
hamid001,"Hamilton","Darryl",06/03/1988,,,
hamid101,"Hamilton","Dave",05/29/1972,,,
hamie101,"Hamilton","Earl",04/14/1911,,,
hamii001,"Hamilton","Ian",08/31/2018,,,
hamij101,"Hamilton","Jack",04/13/1962,,,
hamij001,"Hamilton","Jeff",06/28/1986,,,
hamij002,"Hamilton","Joey",05/24/1994,,,
hamij003,"Hamilton","Josh",04/02/2007,,,
hamim001,"Hamilton","Mark",09/20/2010,,,
hamis101,"Hamilton","Steve",04/23/1961,,04/10/1975,
hamit101,"Hamilton","Tom",09/04/1952,,,
hamib101,"Hamilton","Billy",07/31/1888,,,
hamlk101,"Hamlin","Ken",06/17/1957,,,
hamll101,"Hamlin","Luke",09/18/1933,,,
hammp101,"Hamm","Pete",07/29/1970,,,
hamma001,"Hammaker","Atlee",08/13/1981,,,
hammj002,"Hammel","Jason",04/11/2006,,,
hammr001,"Hammock","Robby",04/11/2003,,,
hammc001,"Hammond","Chris",07/16/1990,,,
hamms101,"Hammond","Steve",06/28/1982,,,
hammj101,"Hammond","Jack",04/15/1915,,,
hammj001,"Hammonds","Jeffrey",06/25/1993,,,
hamng102,"Hamner","Granny",09/14/1944,,,
hamnr101,"Hamner","Ralph",04/28/1946,,,
hamng101,"Hamner","Garvin",04/17/1945,,,
hampg001,"Hampson","Garrett",07/21/2018,,,
hampj001,"Hampson","Justin",09/10/2006,,,
hampi101,"Hampton","Ike",09/12/1974,,,
hampm001,"Hampton","Mike",04/17/1993,,04/04/2016,
hamre001,"Hamren","Erik",08/01/2011,,,
hamrb101,"Hamric","Bert",04/24/1955,,,
hamrr101,"Hamrick","Ray",08/14/1943,,,
hamut001,"Hamulack","Tim",09/02/2005,,,
hancb101,"Hancken","Buddy",05/14/1940,,04/10/1968,
hancf101,"Hancock","Fred",04/26/1949,,,
hancj001,"Hancock","Josh",09/10/2002,,,
hancj002,"Hancock","Justin",05/09/2018,,,
hancl001,"Hancock","Lee",09/03/1995,,,
hancg001,"Hancock","Garry",07/16/1978,,,
hancr001,"Hancock","Ryan",06/08/1996,,,
handb001,"Hand","Brad",06/07/2011,,,
handd001,"Hand","Donovan",05/26/2013,,,
handr101,"Hand","Rich",04/09/1970,,,
handm101,"Handiboe","Mike",09/08/1911,,,
handj101,"Handiboe","Jim",05/28/1886,,,
handg101,"Handley","Gene",04/16/1946,,,
handl101,"Handley","Lee",04/15/1936,,,
handv101,"Handrahan","Vern",04/14/1964,,,
handb101,"Hands","Bill",06/03/1965,,,
haneh101,"Hanebrink","Harry",05/03/1953,,,
hanec001,"Haney","Chris",06/21/1991,,,
hanef101,"Haney","Fred",04/18/1922,4/22/1939,04/17/1956,
hanet001,"Haney","Todd",09/09/1992,,,
hanel101,"Haney","Larry",07/27/1966,,04/07/1978,
hanfc101,"Hanford","Charlie",04/13/1914,,,
hanhe001,"Hanhold","Eric",09/04/2018,,,
hanir001,"Hanigan","Ryan",09/09/2007,,,
hanim001,"Haniger","Mitch",08/16/2016,,,
hankd101,"Hankins","Don",04/23/1927,,,
hankj101,"Hankins","Jay",04/15/1961,,,
hankf101,"Hankinson","Frank",05/01/1878,,,
hanlj101,"Hanley","Jim",07/03/1913,,,
hanln101,"Hanlon","Ned",05/01/1880,08/13/1889,,06/04/1892
hanlb101,"Hanlon","Bill",04/16/1903,,,
hannj103,"Hanna","John",05/23/1884,,,
hannp101,"Hanna","Preston",09/13/1975,,,
hannt101,"Hannah","Truck",04/15/1918,,,
hannj001,"Hannahan","Jack",05/25/2006,,,
hanng101,"Hannahs","Gerry",09/08/1976,,,
hannj102,"Hannan","Jim",04/17/1962,,,
hannj002,"Hannemann","Jacob",09/09/2017,,,
hannj101,"Hannifin","Jack",04/19/1906,,,
hannl101,"Hanning","Loy",09/20/1939,,,
hannp102,"Hannivan","Pat",04/29/1897,,,
hanrj001,"Hanrahan","Joel",07/28/2007,,,
hansd002,"Hansack","Devern",09/23/2006,,,
hansg001,"Hansell","Greg",04/28/1995,,,
hansa101,"Hansen","Andy",06/30/1944,,,
hansc001,"Hansen","Craig",09/19/2005,,,
hansd001,"Hansen","Dave",09/16/1990,,07/20/2011,
hansd101,"Hansen","Doug",09/04/1951,,,
hansj001,"Hansen","Jed",07/29/1997,,,
hansb101,"Hansen","Bob",05/10/1974,,,
hansr102,"Hansen","Ron",04/15/1958,,04/21/1980,
hanss101,"Hansen","Snipe",07/05/1930,,,
hansr101,"Hansen","Roy",05/28/1918,,,
hansf101,"Hansford","Frank",06/09/1898,,,
hansd102,"Hanski","Don",05/06/1943,,,
hansa001,"Hanson","Alen",05/16/2016,,,
hanso101,"Hanson","Ollie",04/27/1921,,,
hanse001,"Hanson","Erik",09/05/1988,,,
hansh101,"Hanson","Harry",07/14/1913,,,
hanst001,"Hanson","Tommy",06/07/2009,,,
hanye101,"Hanyzewski","Ed",05/12/1942,,,
happi001,"Happ","Ian",05/13/2017,,,
happj001,"Happ","J.A.",06/30/2007,,,
happj101,"Happenny","John",07/02/1923,,,
haraa001,"Harang","Aaron",05/25/2002,,,
harbb101,"Harbridge","Bill",05/15/1875,,,
hardr001,"Harden","Rich",07/21/2003,,,
hardm101,"Harder","Mel",04/24/1928,10/1/1961,04/15/1947,
hards101,"Hardesty","Scott",08/17/1899,,,
hardp101,"Hardgrove","Pat",06/08/1918,,,
hardl102,"Hardie","Lou",05/22/1884,,,05/03/1887
hardj101,"Hardin","Jim",06/23/1967,,,
hardb101,"Hardin","Bud",04/15/1952,,,
hardc102,"Harding","Charlie",09/18/1913,,,
hardj002,"Hardtke","Jason",09/08/1996,,,
hardb001,"Hardy","Blaine",06/16/2014,,,
hardc101,"Hardy","Carroll",04/15/1958,,,
harda101,"Hardy","Alex",09/04/1902,,,
hardr101,"Hardy","Red",06/20/1951,,,
hardh101,"Hardy","Harry",09/26/1905,,,
hardl101,"Hardy","Larry",04/28/1974,,04/26/1995,
hardj003,"Hardy","J.J.",04/04/2005,,,
hardj102,"Hardy","Jack",08/29/1903,,,
hardj001,"Hardy","Jack",05/23/1989,,,
hares001,"Hare","Shawn",09/06/1991,,,
hared001,"Haren","Dan",06/30/2003,,,
hargs101,"Hargan","Steve",08/03/1965,,,
harga001,"Hargesheimer","Alan",07/14/1980,,,
hargg101,"Hargis","Gary",09/29/1979,,,
hargb101,"Hargrave","Bubbles",09/18/1913,,,
hargp101,"Hargrave","Pinky",05/18/1923,,,
hargc101,"Hargreaves","Charlie",06/27/1923,,,
hargm001,"Hargrove","Mike",04/07/1974,7/6/1991,04/12/1990,
harit001,"Harikkala","Tim",05/27/1995,,,
harkm001,"Harkey","Mike",09/05/1988,,04/03/2006,
harkj101,"Harkins","John",05/02/1884,,,
harks101,"Harkness","Spec",06/13/1910,,,
harkt101,"Harkness","Tim",09/12/1961,,,
harld102,"Harley","Dick",04/15/1905,,,
harld101,"Harley","Dick",06/02/1897,,,
harll101,"Harlow","Larry",09/20/1975,,,
harmb001,"Harman","Brad",04/22/2008,,,
harmb102,"Harman","Bill",06/17/1941,,,
harmc101,"Harmon","Chuck",04/17/1954,,,
harmb101,"Harmon","Bob",06/23/1909,,,
harmt101,"Harmon","Terry",07/23/1967,,,
harnp001,"Harnisch","Pete",09/13/1988,,,
harpb002,"Harper","Brandon",08/09/2006,,,
harpb001,"Harper","Brian",09/29/1979,,,
harpb003,"Harper","Bryce",04/28/2012,,,
harpj102,"Harper","Jack",09/18/1899,,,
harpg101,"Harper","George",04/15/1916,,,
harph101,"Harper","Harry",06/27/1913,,,
harpg102,"Harper","George",07/11/1894,,,
harpj101,"Harper","Jack",04/17/1915,,,
harpt001,"Harper","Terry",09/12/1980,,,
harpt101,"Harper","Tommy",04/09/1962,,04/10/1980,
harpt002,"Harper","Travis",08/04/2000,,,
harpb101,"Harper","Bill",06/10/1911,,,
harrt001,"Harrah","Toby",09/05/1969,7/9/1992,04/04/1989,
harrj106,"Harrell","John",10/01/1969,,,
